parcel_number,matched,latitude,longitude,census_tract
521329600,True,39.980177683552,-75.228047039644,42101011900
402047900,True,39.927214023653,-75.225385584561,42101006700
281279700,True,39.99344168602,-75.171464465735,42101016901
885325880,True,39.988190768368,-75.113024712609,42101017900
552347900,True,40.024761549799,-75.055890305943,42101032000
56197300,True,39.962488159547,-75.144749144258,42101036700
212414927,False,,,None
192307800,True,39.990159514009,-75.138363362185,42101016300
412249200,True,40.033433108719,-75.043157127538,42101032600
411361300,True,40.017639008625,-75.056634985397,42101032100
622325600,True,40.018706097634,-75.073812259222,42101029900
211065300,True,40.023881513242,-75.217993812892,42101021000
888050066,True,39.94215289409,-75.145670701545,42101001002
593043400,True,40.034912860445,-75.180819565467,42101023800
452257100,True,39.995585154972,-75.105114082382,42101018801
403282200,True,39.919761074085,-75.24398975754,42101006300
182094100,True,39.969975347638,-75.138948942389,42101014400
888115742,True,39.94801899379,-75.16346643856,42101000901
572197466,True,40.066628777303,-75.015987307936,42101034802
251402600,True,39.985327981019,-75.1095841132,42101018002
223205200,True,40.053484957604,-75.189887064228,42101023700
81190500,True,39.946809023399,-75.178308406405,42101001201
171313700,True,40.05046705071,-75.155889519702,42101027700
881128501,True,39.966797471202,-75.250105061085,42101010000
453027300,True,39.996032696482,-75.077526517036,42101018300
882969080,True,39.985008038811,-75.104624356722,42101018002
542370600,True,40.042427969235,-75.067688738192,42101031401
632225400,True,40.098438676613,-75.058033765177,42101034400
394521300,True,39.929854197468,-75.163958624726,42101002900
602091300,True,39.955099827639,-75.224481424448,42101008500
512100200,True,39.937878968648,-75.216723688232,42101007400
572190600,True,40.0612949548,-74.992951586444,42101034803
332076300,True,40.009108636792,-75.095524614918,42101019000
871514750,True,40.062583189658,-75.193010332747,42101038800
41040500,True,39.966174152993,-75.230617742684,42101010200
362209200,True,39.937821021171,-75.193675163774,42101003300
221128400,True,40.055094635629,-75.178047895515,42101025300
342328000,True,39.972802153112,-75.243744934353,42101010100
193030600,True,40.001008184497,-75.133501240043,42101019501
501088300,True,40.071366999315,-75.161971185854,42101026301
394018840,True,39.924509255455,-75.164907081722,42101004001
313185401,True,39.978426563954,-75.12404354908,42101016001
365069597,True,39.931790001381,-75.170325921551,42101003002
412178300,True,40.036421573835,-75.035890396283,42101033000
32172900,True,39.950975978471,-75.239689669586,42101008200
661060800,True,40.074737787984,-74.989101951213,42101035302
511097500,True,39.947536535348,-75.225419986653,42101007300
252260900,True,39.994941638133,-75.114173374279,42101017800
161104600,True,39.987292207679,-75.159987114662,42101016702
513160800,True,39.942979889804,-75.232769999566,42101007200
888084018,True,39.957168977283,-75.177239469735,42101000300
888086200,True,39.962974110043,-75.164715731265,42101013300
661219600,True,40.069401481295,-74.99071032699,42101035301
501295300,True,40.072894042596,-75.160798101841,42101026301
393238000,True,39.923475719458,-75.159576344754,42101004101
311087900,True,39.987594559684,-75.123884568931,42101016100
251009900,True,39.978774807318,-75.111475347364,42101018001
481165500,True,39.927853560845,-75.17075484237,42101003001
522187000,True,39.991950373818,-75.234503119939,42101011700
542183000,True,40.050191873935,-75.065892040189,42101031401
562357400,True,40.074891189214,-75.050279272722,42101033702
612267700,True,40.040793402086,-75.132351415281,42101027500
223182700,True,40.056246335321,-75.191786367026,42101038800
322104000,True,39.982372737682,-75.17136862788,42101015200
888073130,True,39.967875814521,-75.180155383117,42101013601
161134000,True,39.987205429301,-75.160480337262,42101016702
481090300,True,39.927103270858,-75.178023031367,42101003701
393009800,True,39.92465262093,-75.156509355828,42101004101
502431600,True,40.068356971165,-75.176452322726,42101026100
406029800,True,39.920403341039,-75.231787171375,42101006200
581479713,True,40.083570691067,-75.028678636311,42101035500
233088900,True,40.027552211483,-75.106796568418,42101029200
92193910,True,40.063700023242,-75.216703107294,42101038600
252267300,True,39.991039370359,-75.11118783858,42101017900
311069003,True,39.984146339727,-75.130728693631,42101016100
871117550,True,39.996366193739,-75.113361520909,42101017800
652298300,True,40.044295172557,-75.011825717282,42101034900
652011300,True,40.040459379466,-75.024025503309,42101032900
23140900,True,39.94039314496,-75.152071344167,42101001600
491297200,True,40.025814524437,-75.138933667016,42101028400
583165520,True,40.123758296525,-74.995164127266,42101036502
372430300,True,39.998032982254,-75.14136179748,42101017500
401166000,True,39.92682199378,-75.230935664643,42101006600
492020100,True,40.03039519539,-75.132788691637,42101028500
393262500,True,39.917626054445,-75.161001094186,42101004104
888087952,True,39.946783465825,-75.169716721907,42101001204
372248900,True,39.993806981919,-75.150664844037,42101017400
432116400,True,40.006745978381,-75.143612182462,42101019900
871299460,True,40.053222798356,-75.092220876767,42101030600
353238500,True,40.048659685361,-75.096611389949,42101030600
