objectid,parcelcount,buildvaccount,buildvacpercentage,date_update,Shape__Area,Shape__Length
1557,28,1,0.04,2025/07/07 00:00:00+00,15499.23046875,595.512070289285
1558,22,0,0,2025/07/07 00:00:00+00,20330.63671875,637.217618366773
1559,53,0,0,2025/07/07 00:00:00+00,15093.078125,511.179778381786
1560,24,0,0,2025/07/07 00:00:00+00,12389.28125,463.662393975044
1561,50,0,0,2025/07/07 00:00:00+00,10284.53125,481.17785928715
1562,75,2,0.03,2025/07/07 00:00:00+00,20221.74609375,701.288541844269
1563,68,0,0,2025/07/07 00:00:00+00,12673.078125,554.431245801237
1564,51,0,0,2025/07/07 00:00:00+00,17242.2734375,582.88479605822
1565,47,1,0.02,2025/07/07 00:00:00+00,9772.6171875,732.817132820203
1566,22,0,0,2025/07/07 00:00:00+00,5269.4609375,349.536070596984
1567,22,0,0,2025/07/07 00:00:00+00,3925.98828125,392.615423437543
1568,30,0,0,2025/07/07 00:00:00+00,4274.2421875,407.122706070582
1569,8,0,0,2025/07/07 00:00:00+00,1379.1953125,156.762363137466
1570,7,0,0,2025/07/07 00:00:00+00,1168.95703125,142.038355492626
1571,19,0,0,2025/07/07 00:00:00+00,2358.3046875,261.740049437527
1572,18,0,0,2025/07/07 00:00:00+00,2021.10546875,244.706412881277
1573,22,0,0,2025/07/07 00:00:00+00,14756.8125,645.962843635372
1574,29,0,0,2025/07/07 00:00:00+00,10527.203125,545.760346844326
1575,69,0,0,2025/07/07 00:00:00+00,20653.875,776.964750994656
1576,37,1,0.03,2025/07/07 00:00:00+00,10105.81640625,721.345320063258
1577,48,0,0,2025/07/07 00:00:00+00,58510.58984375,1276.99771363063
1578,28,0,0,2025/07/07 00:00:00+00,3094.41015625,359.563794451656
1579,27,0,0,2025/07/07 00:00:00+00,3027.41015625,349.711214028717
1580,80,0,0,2025/07/07 00:00:00+00,34385.875,956.118976319926
1581,22,0,0,2025/07/07 00:00:00+00,27057.890625,725.734960500427
1582,28,0,0,2025/07/07 00:00:00+00,19953.8671875,611.922596395464
1583,49,0,0,2025/07/07 00:00:00+00,31386.52734375,789.901585119196
1584,204,1,0,2025/07/07 00:00:00+00,266857.33984375,5069.08286759244
1585,270,0,0,2025/07/07 00:00:00+00,637933.48046875,10411.2006208507
1586,74,1,0.01,2025/07/07 00:00:00+00,37683.47265625,941.149324827355
1587,53,1,0.02,2025/07/07 00:00:00+00,83717.4140625,1631.2517647085
1588,38,1,0.03,2025/07/07 00:00:00+00,8166.10546875,533.332658932108
1589,51,24,0.47,2025/07/07 00:00:00+00,12138.0390625,584.975615285908
1590,97,0,0,2025/07/07 00:00:00+00,25365.5859375,826.223561144891
1591,40,2,0.05,2025/07/07 00:00:00+00,9065.53515625,649.631687196257
1592,33,0,0,2025/07/07 00:00:00+00,8084.6953125,468.024365246652
1593,95,0,0,2025/07/07 00:00:00+00,11386.9296875,1276.73228174969
1594,71,0,0,2025/07/07 00:00:00+00,10569.5625,943.262305659624
1595,29,0,0,2025/07/07 00:00:00+00,4150.9453125,459.856169230011
1596,19,0,0,2025/07/07 00:00:00+00,2019.7265625,251.073262944587
1597,26,0,0,2025/07/07 00:00:00+00,2872.8984375,350.765254367913
1598,19,0,0,2025/07/07 00:00:00+00,1933.37890625,245.075527601723
1599,58,1,0.02,2025/07/07 00:00:00+00,15290.63671875,561.563725881276
1600,60,0,0,2025/07/07 00:00:00+00,12702.30078125,522.907245823749
1601,69,0,0,2025/07/07 00:00:00+00,19944.6796875,818.506097043372
1602,59,0,0,2025/07/07 00:00:00+00,12671.09375,525.174752375739
1603,37,0,0,2025/07/07 00:00:00+00,12277.1953125,451.795027809617
1604,47,0,0,2025/07/07 00:00:00+00,15424.64453125,526.739819798254
1605,56,0,0,2025/07/07 00:00:00+00,6769.2109375,403.600326043013
1606,28,0,0,2025/07/07 00:00:00+00,3057.54296875,351.528814484992
1607,18,0,0,2025/07/07 00:00:00+00,2020.2265625,242.670087774971
1608,38,0,0,2025/07/07 00:00:00+00,4548.65234375,379.886970569147
1609,21,1,0.05,2025/07/07 00:00:00+00,3314.16796875,318.609645151563
1610,23,0,0,2025/07/07 00:00:00+00,2300.13671875,289.271748805538
1611,61,1,0.02,2025/07/07 00:00:00+00,9693.09375,831.629115888153
1612,46,0,0,2025/07/07 00:00:00+00,7651.4296875,701.661279501067
1613,53,1,0.02,2025/07/07 00:00:00+00,7165.71875,694.002725630711
1614,65,0,0,2025/07/07 00:00:00+00,20659.29296875,981.281579290517
1615,33,0,0,2025/07/07 00:00:00+00,4376.34375,437.396249341579
1616,40,1,0.03,2025/07/07 00:00:00+00,5953.84375,453.359686351671
1617,19,0,0,2025/07/07 00:00:00+00,2097.12109375,253.298726380136
1618,6,1,0.17,2025/07/07 00:00:00+00,1041.8671875,131.251280899321
1619,11,0,0,2025/07/07 00:00:00+00,1226.81640625,166.791935116902
1620,7,0,0,2025/07/07 00:00:00+00,1075.375,137.974221468662
1621,35,3,0.09,2025/07/07 00:00:00+00,8727.94921875,612.696505135246
1622,25,0,0,2025/07/07 00:00:00+00,13948.0703125,660.802497483197
1623,35,1,0.03,2025/07/07 00:00:00+00,6481.68359375,502.243174541977
1624,20,0,0,2025/07/07 00:00:00+00,68846.12890625,1382.51480202925
1625,28,1,0.04,2025/07/07 00:00:00+00,3261.0390625,360.049433434714
1626,28,2,0.07,2025/07/07 00:00:00+00,2611.0234375,348.379327773733
1627,28,0,0,2025/07/07 00:00:00+00,3203.65625,358.22716885703
1628,21,0,0,2025/07/07 00:00:00+00,3099.8671875,233.108233830369
1629,41,0,0,2025/07/07 00:00:00+00,11789.28125,753.489444125702
1630,24,2,0.08,2025/07/07 00:00:00+00,3060.703125,351.0858536457
1631,24,0,0,2025/07/07 00:00:00+00,17036.21484375,550.172264687649
1632,19,0,0,2025/07/07 00:00:00+00,15136.578125,574.94332796634
1633,34,0,0,2025/07/07 00:00:00+00,18644.78125,605.716417377287
1634,34,0,0,2025/07/07 00:00:00+00,18787.34375,605.847880697952
1635,44,0,0,2025/07/07 00:00:00+00,23132.5625,774.253697155141
1636,34,1,0.03,2025/07/07 00:00:00+00,8026.53515625,400.346095250804
1637,48,2,0.04,2025/07/07 00:00:00+00,45165.62890625,1248.26303946051
1638,41,5,0.12,2025/07/07 00:00:00+00,6418.97265625,413.236862551878
1639,15,0,0,2025/07/07 00:00:00+00,1529.74609375,215.729795533307
1640,39,2,0.05,2025/07/07 00:00:00+00,11936.0625,518.26582834469
1641,40,2,0.05,2025/07/07 00:00:00+00,11382.37109375,657.176701723078
1642,63,4,0.06,2025/07/07 00:00:00+00,31244.66015625,940.594178807018
1643,19,1,0.05,2025/07/07 00:00:00+00,2531.4765625,261.64154202353
1644,44,0,0,2025/07/07 00:00:00+00,5191.328125,354.06182355865
1645,19,2,0.11,2025/07/07 00:00:00+00,2626.875,263.465767674583
1646,17,1,0.06,2025/07/07 00:00:00+00,2456.98828125,237.77782223018
1647,56,3,0.05,2025/07/07 00:00:00+00,13774.99609375,848.412747314159
1648,48,0,0,2025/07/07 00:00:00+00,6987.46484375,660.047761775135
1649,31,1,0.03,2025/07/07 00:00:00+00,2941.1796875,384.51999579168
