OBJECTID,TRAIL_NAME,TRAIL_SYSTEM,ALIAS,LABEL,TRAIL_ID,TRAIL_TYPE,TRAIL_SURFACE,TRAIL_STATUS,TRAIL_RESTRICTIONS,PEDESTRIAN_ACCESS,BIKE_ACCESS,HORSE_ACCESS,CIRCUIT_TRAIL,ECG_TRAIL,SRT_TRAIL,DRG_TRAIL,MILES,COMMENTS,NMT911_TRAIL,Shape__Length
79,Tacony Creek Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.29780239,,N,626.503070399928
80,Cheltenham Bridge,TACONY_FRANKFORD,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.01339533,,N,28.1217746869168
81,Tacony Creek Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.18571889,,N,390.830808140467
82,Pennypack Trail,PENNYPACK,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.02507715,,N,52.7872728087977
83,Grays Ferry Crescent,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.05432042,,N,113.927539342258
84,Grays Ferry Crescent,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.05937393,,N,124.56521108358
85,Tacony Creek Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.81410845,,N,1711.19645650958
86,Manayunk Bridge Trail,OTHER,,Manayunk Bridge Trail,,MAJOR,HARD,EXISTING,<Null>,Y,Y,N,Y,N,N,N,0.35862145,,N,755.199400587942
87,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.26867938,,N,564.371380939961
88,Bartrams Mile,BARTRAMS,,,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.04925974,,N,103.348557918198
89,Bartrams Mile,BARTRAMS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.26944035,,N,565.321426496156
90,Bartrams Mile,BARTRAMS,,,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.02192977,,N,46.0406096779251
91,Kensington and Tacony Trail,NORTH_DELAWARE,,Delaware Riverfront Greenway - K&T Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,Y,N,Y,0.86270742,,N,1813.62687601931
92,Port Richmond Trail,NORTH_DELAWARE,,Delaware Riverfront Greenway - Port Richmond Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,Y,N,Y,1.56869212,,N,3293.6928447555
93,Minor Trail,EAST_FAIRMOUNT,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00436742,,N,9.16127027427445
94,Bartrams Mile,BARTRAMS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.4211466,,N,885.531566007756
95,Grays Ferry Crescent,SRT_SCHUYLKILL_BANKS,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.07141352,,N,150.052170716179
96,Bartrams Mile,BARTRAMS,,,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,0.04538023,,N,95.379060780142
97,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.22592329,,N,474.513581819277
98,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.14633262,,N,307.467481585211
99,Frankford Creek Greenway,TACONY_FRANKFORD,,Frankford Creek Greenway,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.55888999,Riverfront North,N,1175.53079825736
100,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.13384284,,N,281.222058363348
101,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.15142487,,N,318.715132774719
102,Kelly Drive Trail,EAST_FAIRMOUNT,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,N,N,0.14455299,,N,303.477481128832
103,Minor Trail,WISSAHICKON_CARPENTERS_WOODS,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.05923085,,N,124.613609966649
104,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.37884001,,N,796.934640366073
105,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.0670148,,Y,140.952812012766
106,Baxter Trail,NORTH_DELAWARE,,Baxter Trail,,MAJOR,HARD,EXISTING,Trail closed weekdays,Y,Y,Y,Y,Y,N,Y,0.60562577,,N,1272.81346481604
107,Baxter Trail,NORTH_DELAWARE,,Baxter Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,Y,N,Y,1.05881759,,N,2226.27259933348
108,Delaware Avenue Extension Trail,NORTH_DELAWARE,"Delaware Avenue Extension Trail; North Delaware Avenue Extension - Phase 1A",Delaware Riverfront Greenway,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,Y,N,Y,0.53731633,Riverfront North,N,1129.13293357342
109,Orange Trail,WISSAHICKON,,Orange Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.1485131,,N,311.918580718801
110,Orange Trail,WISSAHICKON,,Orange Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.06618427,,N,139.060859943344
111,Minor Trail,WISSAHICKON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.33515676,,N,705.460253697267
112,Minor Trail,WISSAHICKON,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.08211034,,N,172.764048495688
113,Minor Trail,WISSAHICKON,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.00703374,,N,14.813975555496
114,Minor Trail,WISSAHICKON,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.05888853,,N,124.046072150753
115,Minor Trail,WISSAHICKON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.019054,,N,40.1276629801551
116,Minor Trail,WISSAHICKON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.03244099,,N,68.2464013213214
117,Minor Trail,WISSAHICKON,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.01724836,,N,36.3402556607857
118,Minor Trail,WISSAHICKON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.09354733,,N,196.606293634947
119,Minor Trail,WISSAHICKON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.1259197,,N,264.822199027535
120,Minor Trail,WISSAHICKON,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.074537,,N,157.080231675346
121,Minor Trail,WISSAHICKON,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.04318709,,N,90.8870040262863
122,Minor Trail,WISSAHICKON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.07457354,,N,156.863799553754
123,Minor Trail,WISSAHICKON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.11809546,,N,248.392292262341
124,Orange Trail,WISSAHICKON,,Orange Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.24699334,,N,519.737744228654
