X,Y,objectid,tree_name,tree_dbh,year,loc_y,loc_x
-8369321.4563727,4857334.8836479,110,PRUNUS VIRGINIANA - COMMON CHOKECHERRY,3,2024,39.9407345,-75.18289204
-8369364.33201953,4857548.37872823,111,ACER PLATANOIDES - NORWAY MAPLE,11,2024,39.94220493,-75.1832772
-8368942.28400038,4857479.09760551,112,ULMUS SPECIES - OTHER ELM,8,2024,39.94172777,-75.17948588
-8368930.13956318,4857501.77459263,113,CLADRASTIS KENTUKEA - YELLOWWOOD,4,2024,39.94188395,-75.17937679
-8369013.36580926,4857491.89239355,114,ULMUS SPECIES - OTHER ELM,5,2024,39.94181589,-75.18012442
-8368998.66714144,4857489.18719917,115,ACER SPECIES - OTHER MAPLE,2,2024,39.94179726,-75.17999238
-8368903.56967347,4857474.27187965,116,QUERCUS RUBRA - NORTHERN RED OAK,6,2024,39.94169453,-75.1791381
-8368927.17626288,4856888.8998652,117,ACER RUBRUM - RED MAPLE,15,2024,39.93766274,-75.17935017
-8369341.63994812,4857288.60088322,118,PLATANUS X ACERIFOLIA - LONDON PLANETREE,6,2024,39.94041573,-75.18307336
-8368794.89486791,4856863.11169655,119,SYRINGA RETICULATA - JAPANESE TREE LILAC,5,2024,39.93748512,-75.17816186
-8368630.7414657,4857429.24091742,120,ACER RUBRUM - RED MAPLE,11,2024,39.94138438,-75.17668725
-8368768.02579048,4856858.19712702,121,PRUNUS VIRGINIANA - COMMON CHOKECHERRY,4,2024,39.93745127,-75.17792049
-8368895.12721286,4857456.36110261,122,GLEDITSIA TRIACANTHOS - HONEYLOCUST,4,2024,39.94157117,-75.17906226
-8369282.63053657,4857570.93464589,123,MAACKIA AMURENSIS - AMUR MAACKIA,7,2024,39.94236028,-75.18254326
-8369282.38828335,4857577.28710014,124,MAACKIA AMURENSIS - AMUR MAACKIA,7,2024,39.94240403,-75.18254109
-8368740.69593414,4856863.26128582,125,PRUNUS SPECIES - OTHER CHERRY,4,2024,39.93748615,-75.17767499
-8368870.03666241,4857451.65411085,126,ACER RUBRUM - RED MAPLE,13,2024,39.94153875,-75.17883687
-8368936.89737701,4857371.69402334,127,AESCULUS HIPPOCASTANUM - HORSECHESTNUT,5,2024,39.94098803,-75.17943749
-8368938.15165864,4857364.94612204,128,AESCULUS HIPPOCASTANUM - HORSECHESTNUT,5,2024,39.94094156,-75.17944876
-8369305.21621952,4857432.42250813,129,PYRUS CALLERYANA - CALLERY PEAR,5,2024,39.9414063,-75.18274616
-8369385.64233545,4857601.83139716,130,PRUNUS SPECIES - OTHER CHERRY,8,2024,39.94257307,-75.18346864
-8369320.78568235,4857341.2820514,131,SYRINGA RETICULATA - JAPANESE TREE LILAC,4,2024,39.94077857,-75.18288602
-8368993.537291,4857488.42791212,132,PRUNUS SPECIES - OTHER CHERRY,6,2024,39.94179203,-75.1799463
-8369407.72200549,4856817.03913781,133,PRUNUS SERRULATA - KWANZAN CHERRY,12,2024,39.93716778,-75.18366698
-8369330.25775942,4857600.291731,134,ACER RUBRUM - RED MAPLE,6,2024,39.94256247,-75.18297111
-8369328.96731191,4857544.44298792,135,ACER PLATANOIDES - NORWAY MAPLE,13,2024,39.94217782,-75.18295952
-8369030.65331298,4857494.73038629,136,QUERCUS RUBRA - NORTHERN RED OAK,18,2024,39.94183543,-75.18027972
